sku,brand,quantity,price,price_if_discounted,pos_in_pg,stock,description,report_time
Lux Soap Bar Soft Touch,Lux,35 gm,15.0,,7,0,"Revel in irresistibly soft and perfumed skin. Want to feel irresistible every day? Revel in irresistibly fragranced skin with LUX Soft Touch Beauty Bar. Formulated with new breakthrough Floral FusionTM Oil, this fragrant body soap has twice the perfume bloom of real flowers that takes every shower to the next level. Exquisite heart notes of French Rose and white florals come together in a perfect symphony, enveloping you in a warm, floral cocoon that lingers after the shower.Luxuriate in the fine fragrance as you wind down for the night. Or when you’re getting ready to go in the morning. The subtle scent of French Rose lingers on your skin, making it the perfect fragrance for any occasion. LUX Soft Touch Beauty Bar is the perfumed soap bar that brings out your extraordinary every day, with every shower.Lather away and make it a pampering session. The lush bubbles soap up to a decadent cleanse that feels as if you are drifting on a bed of roses. Caressed with the velvety French rose petals, your delicately perfumed skin feels moisturized and silky-soft.The LUX Perfumed Bath Collection of Body Washes and Beauty Bars blend rich lather and sophisticated fragrances, crafted by the world’s best perfumers that help women feel fabulous, every day. Shop now!",2023-02-22 11:08:26
Lux Magical Spell Shower Cream (Thai),Lux,500 ml,749.0,,8,0,,2023-02-22 11:08:27
Lux Soap Bar Velvet Glow,Lux,100 gm,60.0,,9,78,,2023-02-22 11:08:50
Lux Body Wash French Rose And Almond Oil (Free Loofah),Lux,245 ml,200.0,,11,80,,2023-02-22 11:09:21
Lux Soap Bar Soft Glow,Lux,35 gm,15.0,,12,0,,2023-02-22 11:09:21
Lux Handwash Rose and Almond Oil Pump,Lux,200 ml,100.0,,13,6,,2023-02-22 11:09:27
Cif Wipes Ui Vn Antibac Citrus,Cif,60 pcs,220.0,,1,8,"99.9 percent bacteria elimination.Eliminates bacteria like salmonella, E.coli and listeria and flu viruses (H1N1).Cleans and disinfects in one wipe.Suitable for: sink, cooker, shower, fridge, toilet, bins and table.3 large and thick wipes.Tough dirt and scum.",2023-02-22 11:09:51
Cif Wipes Ui Vn Citrus Antibac,Cif,90 pcs,315.0,,2,5,international Unilever UK,2023-02-22 11:09:56
Cif Ultrafast Kitchen Clp 450 ml (Buy 1 Get 1 Free),Cif,2 pcs,280.0,,3,0,Buy Cif Ultrafast Kitchen Clp 450 ml And Get Cif Ultrafast Kitchen Clp 450 ml Free.,2023-02-22 11:09:56
Cif Trigger Pink Kitchen,Cif,700 ml,399.0,,4,0,"International, Unilever UK.",2023-02-22 11:09:57
Cif Cream Cleaner Lemon,Cif,500 ml,250.0,,5,0,"International, Unilever UK.",2023-02-22 11:09:57
Cif Pro Spray All Purpose Cleaner,Cif,520 ml,190.0,,6,0,"international Unilever, UK.",2023-02-22 11:09:58
Cif Spray Oven & Grill,Cif,435 ml,315.0,,7,0,"International, Unilever UK.",2023-02-22 11:09:58
Domex Toilet Cleaning Liquid Lime Fresh (Free Basket),Domex,750 ml,150.0,,1,49,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-22 11:10:46
Domex Toilet Cleaning Liquid Ocean Fresh (Free Basket),Domex,750 ml,150.0,,2,59,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-22 11:11:06
Domex Toilet Cleaning Liquid Lime Fresh (Free Toilet Brush),Domex,500 ml,120.0,,3,50,,2023-02-22 11:11:26
Domex Toilet Cleaning Powder,Domex,250 gm,35.0,,4,7,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance.",2023-02-22 11:11:33
Domex Toilet Cleaning Liquid Ocean Fresh (Free Toilet Brush),Domex,500 ml,120.0,,5,42,,2023-02-22 11:11:49
Domex Toilet Cleaning Powder 250 gm,Domex,4 pack,140.0,,7,2,250 gm 4 packet,2023-02-22 11:11:52
Domex Toilet Cleaning Liquid Lime Fresh,Domex,500 ml,115.0,101.0,8,0,,2023-02-22 11:11:53
Domex Toilet Cleaning Powder,Domex,100 gm,15.0,,9,0,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-22 11:11:54
Domex Toilet Cleaning Liquid Ocean Fresh,Domex,750 ml,135.0,,11,0,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-22 11:11:55
Domex Toilet Cleaning Liquid Lime Fresh,Domex,750 ml,135.0,,12,0,"Domex Fresh and Clean is a powerful toilet cleaning liquid that gives you 2 times long lasting freshness*. Its thick formula helps it spread across the toilet bowl and helps in effortless cleaning. Its unique colour changing technology turns the product from green to blue when in contact with water. Its powerful cleaning agents remove the toughest stains and provide germ protection. It also gives your toilet a pleasant fresh fragrance and helps avoid odour for long. It’s 99.9% Germ-kill** formula makes it a quality disinfectant and its thick formula makes the fluid spread evenly, ensuring ease of use. Domex is a toilet cleaning expert. Domex Toilet Cleaner comes in 2 variants - Ocean Fresh and Lemon fresh with distinct fragrance. *Lab test **Kills all germs (Bacteria, Virus and fungi), post 60 minutes of contact with undiluted product",2023-02-22 11:11:55
Domex Toilet Cleaning Liquid Ocean Fresh,Domex,500 ml,115.0,101.0,13,0,,2023-02-22 11:11:56
Glucomax D Bib,GlucoMax,200 gm,99.0,,1,6,"GlucoMax D is a non-flavoured energy drink that can be used by children and adults alike. It helps in maintaining an active lifestyle for sports person, active business person or are a busy housewife. It is the energy drink made from glucose, which is the simplest form of sugar, and serves as an instant source of energy. The drink is also infused with minerals such as Calcium, Phosphorus & Vitamin D GlucoMax D is an easily digestible glucose drink which is a fast and effective provider of energy.",2023-02-22 11:12:12
